Key,english

universalIronExtractort1,"Iron Extractor (T1)"
universalIronExtractort2,"Iron Extractor (T2)"
universalIronExtractort3,"Iron Extractor (T3)"
universalIronExtractort4,"Iron Extractor (T4)"
universalIronExtractort5,"Iron Extractor (T5)"

universalCoalExtractor,"Coal Extractor"
universalNitrateExtractor,"Nitrate Extractor"
universalLeadExtractor,"Lead Extractor"
universalOilShaleExtractor,"Oil Shale Extractor"

universalCrafter,"Universal Crafter"
universalCrafterDesc,"Automates crafting recipes using configured input and output containers."

networkController,"Network Controller"
networkControllerDesc,"Manages machine networks and links connected pipe systems."

universalIronExtractorDesc,"Automates iron extraction from iron ore sources. Higher tiers increase output and speed."
universalCoalExtractorDesc,"Automates coal extraction from coal ore sources."
universalNitrateExtractorDesc,"Automates nitrate extraction from nitrate ore sources."
universalLeadExtractorDesc,"Automates lead extraction from lead ore sources."
universalOilShaleExtractorDesc,"Automates oil shale extraction from oil shale sources."

universalWasher,"Universal Washer"
universalWasherDesc,"Washes selected materials using water as a processing fluid."

universalFluidDecanter,"Fluid Decanter"
fluidDecanterDesc,"Extracts fluid from compatible items and injects it into connected liquid pipes."
universalFluidInfuser,"Fluid Infuser"
fluidInfuserDesc,"Combines configured item inputs with fluid from connected pipes to craft new items."
universalMelter,"Universal Melter"
universalMelterDesc,"Melts configured item inputs into molten fluids when heated from below."

itemPipe,"Item Pipe (T1)"
itemPipeElbow,"Item Pipe Elbow (T1)"
itemPipeSmallJoint,"Item Pipe Junction (T1)"

itemPipeDesc,"Basic item pipe for short-distance transfer."
itemPipeElbowDesc,"Basic elbow pipe for turning item routes."
itemPipeTJunctionDesc,"Basic junction pipe for splitting item routes."

itemPipeT2,"Item Pipe (T2)"
itemPipeElbowT2,"Item Pipe Elbow (T2)"
itemPipeSmallJointT2,"Item Pipe Junction (T2)"
itemPipeT3,"Item Pipe (T3)"
itemPipeElbowT3,"Item Pipe Elbow (T3)"
itemPipeSmallJointT3,"Item Pipe Junction (T3)"

itemPipeT2Desc,"Improved item pipe with higher throughput and faster transfer cadence."
itemPipeElbowT2Desc,"Improved elbow pipe with higher throughput and faster transfer cadence."
itemPipeSmallJointT2Desc,"Improved junction pipe with higher throughput and faster transfer cadence."
itemPipeT3Desc,"Advanced item pipe with high throughput and strong transfer speed."
itemPipeElbowT3Desc,"Advanced elbow pipe with high throughput and strong transfer speed."
itemPipeSmallJointT3Desc,"Advanced junction pipe with high throughput and strong transfer speed."

ucElectricianT1,"Item Pipes (Basic)"
ucElectricianT2,"Item Pipes (Improved)"
ucElectricianT3,"Item Pipes (Advanced)"
ucWorkstationsT1,"Universal Extractors (Basic)"
ucWorkstationsT2,"Iron Extractor Upgrade (T2)"
ucWorkstationsT3,"Iron Extractor Upgrade (T3) + Universal Crafter"
ucWorkstationsT4,"Iron Extractor Upgrade (T4)"
ucWorkstationsT5,"Iron Extractor Upgrade (T5)"
liquidPipe,"Liquid Pipe"
liquidPipeElbow,"Liquid Pipe Elbow"
liquidPipeSmallJoint,"Liquid Pipe Junction"
liquidPipeDesc,"Transports fluid through a pumped liquid network."
liquidPipeElbowDesc,"Elbow segment for turning liquid pipe routes."
liquidPipeTJunctionDesc,"Junction segment for splitting liquid pipe routes."
fluidPump,"Fluid Pump"
fluidPumpDesc,"Required to move liquid through connected liquid pipes."
fluidStorageTank,"Fluid Storage Tank"
fluidStorageTankDesc,"Stores large amounts of fluid for connected machines and logistics."



fluidIntake,"Fluid Intake (T1)"
fluidIntakeT2,"Fluid Intake (T2)"
fluidIntakeT3,"Fluid Intake (T3)"
fluidIntakeDesc,"Pulls water from the block directly below and injects it into connected pipes."
fluidIntakeT2Desc,"Improved intake with higher water pull throughput."
fluidIntakeT3Desc,"Advanced intake with high water pull throughput."
fluidValve,"Fluid Valve (T1)"
fluidValveT2,"Fluid Valve (T2)"
fluidValveT3,"Fluid Valve (T3)"
fluidValveDesc,"Inline shutoff valve for liquid pipes. Toggle open or closed to control flow."
fluidValveT2Desc,"Improved inline valve with higher throughput."
fluidValveT3Desc,"Advanced inline valve with high throughput."


